indicator,country,occupation,year,value
total employment,EU,3,2023,"32,882,200"
percent women,EU,3,2023,49.7%
percent unemployed,EU,3,2023,2%
relative income,EU,3,2023,97.4%
total employment,AT,3,2023,"815,500"
percent women,AT,3,2023,45.6%
total employment,BE,3,2023,"751,600"
percent women,BE,3,2023,50.6%
total employment,BG,3,2023,"274,800"
percent women,BG,3,2023,47.1%
total employment,CY,3,2023,"66,900"
percent women,CY,3,2023,47.8%
total employment,CZ,3,2023,"827,600"
percent women,CZ,3,2023,48.8%
total employment,DE,3,2023,"8,395,100"
percent women,DE,3,2023,54%
total employment,DK,3,2023,"544,500"
percent women,DK,3,2023,41.8%
total employment,EE,3,2023,"101,200"
percent women,EE,3,2023,53.3%
total employment,EL,3,2023,"295,100"
percent women,EL,3,2023,40.9%
total employment,ES,3,2023,"2,645,900"
percent women,ES,3,2023,38.5%
total employment,FI,3,2023,"505,500"
percent women,FI,3,2023,56%
total employment,FR,3,2023,"5,282,900"
percent women,FR,3,2023,56.3%
total employment,HR,3,2023,"218,000"
percent women,HR,3,2023,50.1%
total employment,HU,3,2023,"736,800"
percent women,HU,3,2023,61.7%
total employment,IE,3,2023,"326,800"
percent women,IE,3,2023,47.6%
total employment,IT,3,2023,"4,141,000"
percent women,IT,3,2023,39.4%
total employment,LT,3,2023,"138,400"
percent women,LT,3,2023,57.5%
total employment,LU,3,2023,"47,800"
percent women,LU,3,2023,51.6%
total employment,LV,3,2023,"115,300"
percent women,LV,3,2023,58.2%
total employment,MT,3,2023,"39,300"
percent women,MT,3,2023,38.1%
total employment,NL,3,2023,"1,633,400"
percent women,NL,3,2023,51.3%
total employment,PL,3,2023,"2,351,200"
percent women,PL,3,2023,50.6%
total employment,PT,3,2023,"563,700"
percent women,PT,3,2023,45.1%
total employment,RO,3,2023,"538,100"
percent women,RO,3,2023,52.3%
total employment,SE,3,2023,"974,900"
percent women,SE,3,2023,43.4%
total employment,SI,3,2023,"142,000"
percent women,SI,3,2023,50.7%
total employment,SK,3,2023,"408,800"
percent women,SK,3,2023,50.7%
total employment,EU,3.32,2023,"6,274,200"
percent women,EU,3.32,2023,78%
percent unemployed,EU,3.32,2023,1.3%
relative income,EU,3.32,2023,91.3%
total employment,AT,3.32,2023,"76,600"
percent women,AT,3.32,2023,71.9%
total employment,BE,3.32,2023,"133,000"
percent women,BE,3.32,2023,82.3%
total employment,BG,3.32,2023,"15,000"
percent women,BG,3.32,2023,76.7%
total employment,CY,3.32,2023,"3,200"
percent women,CY,3.32,2023,66.2%
total employment,CZ,3.32,2023,"92,600"
percent women,CZ,3.32,2023,88.1%
total employment,DE,3.32,2023,"2,689,000"
percent women,DE,3.32,2023,82.1%
total employment,DK,3.32,2023,"37,900"
percent women,DK,3.32,2023,69.4%
total employment,EE,3.32,2023,"9,000"
percent women,EE,3.32,2023,83.4%
total employment,EL,3.32,2023,"24,300"
percent women,EL,3.32,2023,59.2%
total employment,ES,3.32,2023,"228,500"
percent women,ES,3.32,2023,68.1%
total employment,FI,3.32,2023,"106,700"
percent women,FI,3.32,2023,85.1%
total employment,FR,3.32,2023,"975,400"
percent women,FR,3.32,2023,77.2%
total employment,HR,3.32,2023,"39,000"
percent women,HR,3.32,2023,88.5%
total employment,HU,3.32,2023,"125,100"
percent women,HU,3.32,2023,87.7%
total employment,IE,3.32,2023,"28,000"
percent women,IE,3.32,2023,50.9%
total employment,IT,3.32,2023,"815,900"
percent women,IT,3.32,2023,66%
total employment,LT,3.32,2023,"18,000"
percent women,LT,3.32,2023,95%
total employment,LU,3.32,2023,"4,400"
percent women,LU,3.32,2023,74.2%
total employment,LV,3.32,2022,"11,400"
percent women,LV,3.32,2022,91%
total employment,NL,3.32,2023,"273,000"
percent women,NL,3.32,2023,77.6%
total employment,PL,3.32,2023,"230,900"
percent women,PL,3.32,2023,75%
total employment,PT,3.32,2023,"67,000"
percent women,PT,3.32,2023,72.7%
total employment,RO,3.32,2023,"109,500"
percent women,RO,3.32,2023,79%
total employment,SE,3.32,2023,"66,700"
percent women,SE,3.32,2023,72.6%
total employment,SI,3.32,2023,"18,600"
percent women,SI,3.32,2023,80.2%
total employment,SK,3.32,2023,"80,900"
percent women,SK,3.32,2023,88.6%
total employment,EU,3.35,2023,"2,096,500"
percent women,EU,3.35,2023,16.3%
percent unemployed,EU,3.35,2023,2.6%
relative income,EU,3.35,2023,99.1%
total employment,AT,3.35,2023,"43,900"
percent women,AT,3.35,2023,15%
total employment,BE,3.35,2023,"19,800"
percent women,BE,3.35,2023,18.1%
total employment,BG,3.35,2023,"20,300"
percent women,BG,3.35,2022,23.4%
total employment,CY,3.35,2023,"3,100"
percent women,CY,3.35,2021,16%
total employment,CZ,3.35,2023,"52,100"
percent women,CZ,3.35,2023,12.3%
total employment,DE,3.35,2023,"330,300"
percent women,DE,3.35,2023,12.6%
total employment,DK,3.35,2023,"51,200"
percent women,DK,3.35,2023,23.3%
total employment,EE,3.35,2023,"5,900"
percent women,EE,3.35,2022,17.9%
total employment,EL,3.35,2023,"27,800"
percent women,EL,3.35,2023,23.9%
total employment,ES,3.35,2023,"421,700"
percent women,ES,3.35,2023,14.7%
total employment,FI,3.35,2023,"33,600"
percent women,FI,3.35,2023,23.8%
total employment,FR,3.35,2023,"216,900"
percent women,FR,3.35,2023,14.7%
total employment,HR,3.35,2023,"13,200"
percent women,HR,3.35,2023,13.9%
total employment,HU,3.35,2023,"26,200"
percent women,HU,3.35,2023,22.1%
total employment,IE,3.35,2023,"29,400"
percent women,IE,3.35,2023,39%
total employment,IT,3.35,2023,"410,800"
percent women,IT,3.35,2023,14.6%
total employment,LT,3.35,2023,"4,700"
percent women,LT,3.35,2021,22.4%
total employment,LU,3.35,2023,"3,100"
total employment,LV,3.35,2023,"8,100"
percent women,LV,3.35,2019,27.2%
total employment,NL,3.35,2023,"74,500"
percent women,NL,3.35,2023,21.9%
total employment,PL,3.35,2023,"112,400"
percent women,PL,3.35,2023,12.6%
total employment,PT,3.35,2023,"44,600"
percent women,PT,3.35,2023,20.3%
total employment,RO,3.35,2023,"47,500"
percent women,RO,3.35,2023,35.1%
total employment,SE,3.35,2023,"63,600"
percent women,SE,3.35,2023,20.1%
total employment,SI,3.35,2023,"7,000"
percent women,SI,3.35,2021,15.2%
total employment,SK,3.35,2023,"24,700"
percent women,SK,3.35,2020,12.1%
total employment,EU,3.34,2023,"3,642,500"
percent women,EU,3.34,2023,59.6%
percent unemployed,EU,3.34,2023,3.7%
relative income,EU,3.34,2023,77.3%
total employment,AT,3.34,2023,"94,600"
percent women,AT,3.34,2023,59.2%
total employment,BE,3.34,2023,"76,400"
percent women,BE,3.34,2023,60.9%
total employment,BG,3.34,2023,"16,700"
percent women,BG,3.34,2023,39.5%
total employment,CY,3.34,2023,"5,900"
percent women,CY,3.34,2023,42.9%
total employment,CZ,3.34,2023,"56,800"
percent women,CZ,3.34,2023,55.3%
total employment,DE,3.34,2023,"554,100"
percent women,DE,3.34,2023,55.1%
total employment,DK,3.34,2023,"47,600"
percent women,DK,3.34,2023,54.7%
total employment,EE,3.34,2023,"12,100"
percent women,EE,3.34,2023,60.6%
total employment,EL,3.34,2023,"42,700"
percent women,EL,3.34,2023,40.2%
total employment,ES,3.34,2023,"353,300"
percent women,ES,3.34,2023,50.8%
total employment,FI,3.34,2023,"88,400"
percent women,FI,3.34,2023,69.8%
total employment,FR,3.34,2023,"986,200"
percent women,FR,3.34,2023,63.9%
total employment,HR,3.34,2023,"13,600"
percent women,HR,3.34,2023,42.8%
total employment,HU,3.34,2023,"73,300"
percent women,HU,3.34,2023,67.9%
total employment,IE,3.34,2023,"61,700"
percent women,IE,3.34,2023,44.8%
total employment,IT,3.34,2023,"248,500"
percent women,IT,3.34,2023,53.2%
total employment,LT,3.34,2023,"19,500"
percent women,LT,3.34,2023,64.7%
total employment,LU,3.34,2023,"8,400"
percent women,LU,3.34,2023,58%
total employment,LV,3.34,2023,"11,800"
percent women,LV,3.34,2023,62.6%
total employment,NL,3.34,2023,"392,000"
percent women,NL,3.34,2023,67.4%
total employment,PL,3.34,2023,"239,700"
percent women,PL,3.34,2023,71%
total employment,PT,3.34,2023,"71,700"
percent women,PT,3.34,2023,52%
total employment,RO,3.34,2023,"36,000"
percent women,RO,3.34,2023,44.6%
total employment,SE,3.34,2023,"102,700"
percent women,SE,3.34,2023,58.5%
total employment,SI,3.34,2023,"9,400"
percent women,SI,3.34,2023,47%
total employment,SK,3.34,2023,"19,300"
percent women,SK,3.34,2023,44.6%
total employment,EU,3.33,2023,"13,663,600"
percent women,EU,3.33,2023,55.1%
percent unemployed,EU,3.33,2023,2%
relative income,EU,3.33,2023,106%
total employment,AT,3.33,2023,"377,700"
percent women,AT,3.33,2023,61.3%
total employment,BE,3.33,2023,"364,800"
percent women,BE,3.33,2023,52.2%
total employment,BG,3.33,2023,"152,000"
percent women,BG,3.33,2023,61.8%
total employment,CY,3.33,2023,"44,500"
percent women,CY,3.33,2023,57.1%
total employment,CZ,3.33,2023,"389,200"
percent women,CZ,3.33,2023,62.1%
total employment,DE,3.33,2023,"3,018,500"
percent women,DE,3.33,2023,53.7%
total employment,DK,3.33,2023,"261,500"
percent women,DK,3.33,2023,53.2%
total employment,EE,3.33,2023,"53,000"
percent women,EE,3.33,2023,64.6%
total employment,EL,3.33,2023,"127,600"
percent women,EL,3.33,2023,54.7%
total employment,ES,3.33,2023,"1,143,900"
percent women,ES,3.33,2023,44.6%
total employment,FI,3.33,2023,"176,300"
percent women,FI,3.33,2023,56.5%
total employment,FR,3.33,2023,"2,073,000"
percent women,FR,3.33,2023,66.6%
total employment,HR,3.33,2023,"86,900"
percent women,HR,3.33,2023,63.1%
total employment,HU,3.33,2023,"387,600"
percent women,HU,3.33,2023,67.4%
total employment,IE,3.33,2023,"166,000"
percent women,IE,3.33,2023,53.2%
total employment,IT,3.33,2023,"1,706,200"
percent women,IT,3.33,2023,42.6%
