indicator,country,occupation,year,value
total employment,EU,3,2022,"32,119,700"
percent women,EU,3,2022,49.7%
percent unemployed,EU,3,2022,1.9%
relative income,EU,3,2020,100%
total employment,AT,3,2022,"803,200"
percent women,AT,3,2022,45.6%
total employment,BE,3,2022,"726,400"
percent women,BE,3,2022,47.7%
total employment,BG,3,2022,"283,100"
percent women,BG,3,2022,46.1%
total employment,CY,3,2022,"60,700"
percent women,CY,3,2022,43.1%
total employment,CZ,3,2022,"827,600"
percent women,CZ,3,2022,43.7%
total employment,DE,3,2022,"8,410,300"
percent women,DE,3,2022,53.3%
total employment,DK,3,2022,"546,600"
percent women,DK,3,2022,43.2%
total employment,EE,3,2022,"100,200"
percent women,EE,3,2022,50.9%
total employment,EL,3,2022,"278,700"
percent women,EL,3,2022,42.1%
total employment,ES,3,2022,"2,450,900"
percent women,ES,3,2022,39.5%
total employment,FI,3,2022,"486,200"
percent women,FI,3,2022,56.2%
total employment,FR,3,2022,"5,097,500"
percent women,FR,3,2022,57.5%
total employment,HR,3,2022,"228,000"
percent women,HR,3,2022,49.6%
total employment,HU,3,2022,"730,600"
percent women,HU,3,2022,62.8%
total employment,IE,3,2022,"313,800"
percent women,IE,3,2022,50%
total employment,IT,3,2022,"3,898,800"
percent women,IT,3,2022,39.2%
total employment,LT,3,2022,"139,300"
percent women,LT,3,2022,55.5%
total employment,LU,3,2022,"48,500"
percent women,LU,3,2022,51.8%
total employment,LV,3,2022,"121,200"
percent women,LV,3,2022,58.1%
total employment,MT,3,2022,"36,300"
percent women,MT,3,2022,36.3%
total employment,NL,3,2022,"1,592,600"
percent women,NL,3,2022,51.8%
total employment,PL,3,2022,"2,312,100"
percent women,PL,3,2022,50.7%
total employment,PT,3,2022,"550,700"
percent women,PT,3,2022,44%
total employment,RO,3,2022,"546,700"
percent women,RO,3,2022,53.1%
total employment,SE,3,2022,"938,500"
percent women,SE,3,2022,44.4%
total employment,SI,3,2022,"153,000"
percent women,SI,3,2022,47.6%
total employment,SK,3,2022,"438,100"
percent women,SK,3,2022,49%
total employment,EU,3.32,2022,"6,211,000"
percent women,EU,3.32,2022,77.9%
percent unemployed,EU,3.32,2022,1.2%
relative income,EU,3.32,2020,89.1%
total employment,AT,3.32,2022,"78,400"
percent women,AT,3.32,2022,65.4%
total employment,BE,3.32,2022,"113,000"
percent women,BE,3.32,2022,80.1%
total employment,BG,3.32,2022,"16,100"
percent women,BG,3.32,2022,72.7%
total employment,CY,3.32,2022,"3,200"
percent women,CY,3.32,2022,65.3%
total employment,CZ,3.32,2022,"92,100"
percent women,CZ,3.32,2022,88.4%
total employment,DE,3.32,2022,"2,615,600"
percent women,DE,3.32,2022,81.8%
total employment,DK,3.32,2022,"43,400"
percent women,DK,3.32,2022,72.5%
total employment,EE,3.32,2022,"7,900"
percent women,EE,3.32,2022,87.3%
total employment,EL,3.32,2022,"30,800"
percent women,EL,3.32,2022,73.7%
total employment,ES,3.32,2022,"230,500"
percent women,ES,3.32,2022,69.1%
total employment,FI,3.32,2022,"104,200"
percent women,FI,3.32,2022,83%
total employment,FR,3.32,2022,"1,006,300"
percent women,FR,3.32,2022,75.9%
total employment,HR,3.32,2022,"46,400"
percent women,HR,3.32,2022,88.8%
total employment,HU,3.32,2022,"125,500"
percent women,HU,3.32,2022,87.5%
total employment,IE,3.32,2022,"30,700"
percent women,IE,3.32,2022,68.3%
total employment,IT,3.32,2022,"785,000"
percent women,IT,3.32,2022,66.3%
total employment,LT,3.32,2022,"19,000"
percent women,LT,3.32,2022,88.9%
total employment,LU,3.32,2022,"5,200"
percent women,LU,3.32,2022,76.2%
total employment,LV,3.32,2022,"11,400"
percent women,LV,3.32,2022,91%
total employment,NL,3.32,2022,"280,700"
percent women,NL,3.32,2022,80%
total employment,PL,3.32,2022,"219,900"
percent women,PL,3.32,2022,72.1%
total employment,PT,3.32,2022,"63,400"
percent women,PT,3.32,2022,78.9%
total employment,RO,3.32,2022,"117,800"
percent women,RO,3.32,2022,83.5%
total employment,SE,3.32,2022,"63,000"
percent women,SE,3.32,2022,77.9%
total employment,SI,3.32,2022,"18,500"
percent women,SI,3.32,2022,75.4%
total employment,SK,3.32,2022,"83,200"
percent women,SK,3.32,2022,89.2%
total employment,EU,3.35,2022,"2,032,100"
percent women,EU,3.35,2022,16.5%
percent unemployed,EU,3.35,2022,2.3%
relative income,EU,3.35,2020,104.7%
total employment,AT,3.35,2022,"33,300"
percent women,AT,3.35,2022,17.5%
total employment,BE,3.35,2022,"25,500"
percent women,BE,3.35,2022,23.6%
total employment,BG,3.35,2022,"23,900"
percent women,BG,3.35,2022,23.2%
total employment,CY,3.35,2022,"3,500"
total employment,CZ,3.35,2022,"79,000"
percent women,CZ,3.35,2022,9.5%
total employment,DE,3.35,2022,"360,500"
percent women,DE,3.35,2022,15%
total employment,DK,3.35,2022,"51,100"
percent women,DK,3.35,2022,22.2%
total employment,EE,3.35,2022,"5,600"
percent women,EE,3.35,2022,17.9%
total employment,EL,3.35,2022,"12,300"
total employment,ES,3.35,2022,"354,400"
percent women,ES,3.35,2022,15.5%
total employment,FI,3.35,2022,"27,000"
percent women,FI,3.35,2022,22.2%
total employment,FR,3.35,2022,"237,000"
percent women,FR,3.35,2022,17.6%
total employment,HR,3.35,2022,"14,000"
percent women,HR,3.35,2022,17.2%
total employment,HU,3.35,2022,"25,200"
percent women,HU,3.35,2022,16.6%
total employment,IE,3.35,2022,"25,300"
percent women,IE,3.35,2022,27.4%
total employment,IT,3.35,2022,"369,400"
percent women,IT,3.35,2022,15.1%
total employment,LT,3.35,2022,"7,700"
total employment,LU,3.35,2022,"3,000"
total employment,NL,3.35,2022,"80,300"
percent women,NL,3.35,2022,20.2%
total employment,PL,3.35,2022,"99,100"
percent women,PL,3.35,2022,12.1%
total employment,PT,3.35,2022,"40,300"
percent women,PT,3.35,2022,12.6%
total employment,RO,3.35,2022,"48,500"
percent women,RO,3.35,2022,30.4%
total employment,SE,3.35,2022,"60,900"
percent women,SE,3.35,2022,22.1%
total employment,SI,3.35,2022,"7,000"
total employment,SK,3.35,2022,"33,000"
total employment,EU,3.34,2022,"3,616,700"
percent women,EU,3.34,2022,60.2%
percent unemployed,EU,3.34,2022,3.4%
relative income,EU,3.34,2020,83.6%
total employment,AT,3.34,2022,"97,100"
percent women,AT,3.34,2022,61.9%
total employment,BE,3.34,2022,"78,400"
percent women,BE,3.34,2022,56.8%
total employment,BG,3.34,2022,"15,200"
percent women,BG,3.34,2022,48.5%
total employment,CY,3.34,2022,"5,400"
percent women,CY,3.34,2022,34.3%
total employment,CZ,3.34,2022,"65,900"
percent women,CZ,3.34,2022,50.3%
total employment,DE,3.34,2022,"595,800"
percent women,DE,3.34,2022,58%
total employment,DK,3.34,2022,"47,400"
percent women,DK,3.34,2022,56.1%
total employment,EE,3.34,2022,"12,700"
percent women,EE,3.34,2022,54.8%
total employment,EL,3.34,2022,"41,900"
percent women,EL,3.34,2022,39.3%
total employment,ES,3.34,2022,"322,000"
percent women,ES,3.34,2022,48.1%
total employment,FI,3.34,2022,"90,000"
percent women,FI,3.34,2022,67.4%
total employment,FR,3.34,2022,"1,027,800"
percent women,FR,3.34,2022,64.5%
total employment,HR,3.34,2022,"13,000"
percent women,HR,3.34,2022,38.6%
