Occupation,Belgium,Austria,Bulgaria,Czechia,Denmark,Germany,Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,The Netherlands,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden
Occupation_2digit ISCO_11,0.75149,0.88234,0.77216,0.83475,0.54825,0.78198,0.84429,1.11439,0.61807,0.68282,0.88626,0.81517,1.00026,1.36377,0.49867,0.69414,0.94952,0.67012,0.84343,0.60121,0.8309,0.8505,0.74902,0.71345,0.70972,0.92045,0.70378
Occupation_2digit ISCO_12,0.69459,0.75483,0.90373,0.84891,0.54679,0.75962,0.72613,0.90341,0.66553,0.62938,0.53386,0.50908,1.14843,1.14861,0.65841,0.70674,0.91776,0.81331,0.72812,0.58263,0.67039,0.83377,0.74281,0.4928,0.65602,0.84183,0.65632
Occupation_2digit ISCO_13,0.67604,0.67724,0.72654,0.78637,0.44848,0.62583,0.70142,0.6971,0.58427,0.59068,0.45766,0.6774,1.00647,0.90445,0.70195,0.65698,0.70334,0.65045,0.72344,0.51328,0.58294,0.73155,0.68055,0.40432,0.61574,0.74323,0.58615
Occupation_2digit ISCO_14,0.47509,0.52135,0.69096,0.58107,0.26634,0.59819,0.52641,0.37631,0.44529,0.3934,0.44974,0.61334,0.57144,0.75527,0.47271,0.53728,0.63482,0.4175,0.62362,0.3732,0.35721,0.62269,0.57642,0.35507,0.43252,0.76727,0.37064
Occupation_2digit ISCO_21,0.49907,0.5013,0.47725,0.56125,0.35959,0.44717,0.56349,0.43783,0.38491,0.38333,0.4376,0.51034,0.4671,0.38148,0.4779,0.4915,0.46559,0.54486,0.49853,0.33157,0.35544,0.52098,0.46445,0.40085,0.393,0.48441,0.38067
Occupation_2digit ISCO_22,0.60391,0.73789,0.45798,0.67912,0.34101,0.57281,0.82929,0.49688,0.31431,0.55007,0.48283,0.60951,0.97238,0.44141,0.66988,0.58434,0.82122,0.57695,0.72672,0.42036,0.55482,0.65649,0.71572,0.58044,0.47487,0.78678,0.49647
Occupation_2digit ISCO_23,0.78156,0.49731,0.4156,0.53504,0.21615,0.39775,0.71213,0.80723,0.47333,0.40379,0.29392,0.32028,0.68897,0.61486,0.52272,0.60226,0.48847,0.44968,0.56016,0.36629,0.77488,0.77915,0.52259,0.4205,0.42115,0.3865,0.29584
Occupation_2digit ISCO_24,0.54693,0.53397,0.5637,0.65005,0.37268,0.51507,0.7066,0.52863,0.31775,0.3925,0.50544,0.49621,0.42035,0.58268,0.60157,0.51587,0.46574,0.59668,0.50976,0.39517,0.38503,0.50939,0.54629,0.43915,0.5034,0.53904,0.43104
Occupation_2digit ISCO_25,0.55797,0.51089,0.92086,0.68296,0.38578,0.4596,0.78562,0.57733,0.33824,0.35011,0.46116,0.5143,0.379,0.58501,0.77531,0.75199,0.43445,0.62651,0.58811,0.37051,0.61727,0.49465,0.88521,0.44844,0.52108,0.48576,0.39705
Occupation_2digit ISCO_26,0.5261,0.48558,0.3384,0.4056,0.2822,0.39217,0.52751,0.55105,0.20969,0.31571,0.37988,0.40465,0.61051,0.44309,0.41496,0.40869,0.58003,0.51746,0.3241,0.34177,0.4744,0.52994,0.48985,0.38008,0.25214,0.44128,0.36514
Occupation_2digit ISCO_31,0.34683,0.42811,0.36213,0.44128,0.24636,0.33479,0.47941,0.33861,0.33893,0.25376,0.23905,0.31712,0.31445,0.36698,0.47659,0.40494,0.35456,0.35875,0.40399,0.31918,0.28234,0.31694,0.4075,0.32133,0.35925,0.33416,0.29829
Occupation_2digit ISCO_32,0.46464,0.428,0.33833,0.53936,0.21313,0.33251,0.61886,0.22781,0.18777,0.17073,0.28523,0.43957,0.34289,0.23768,0.47162,0.32605,0.6373,0.36639,0.54137,0.27744,0.23419,0.32286,0.44804,0.36289,0.32745,0.36276,0.2064
Occupation_2digit ISCO_33,0.36613,0.43983,0.40531,0.46273,0.2564,0.38774,0.50778,0.29029,0.13914,0.2739,0.23346,0.43877,0.37178,0.33785,0.4113,0.31123,0.3335,0.36729,0.40769,0.2981,0.26246,0.41123,0.3201,0.30657,0.37578,0.34836,0.27863
Occupation_2digit ISCO_34,0.41622,0.37584,0.28922,0.3593,0.18587,0.38342,0.35132,0.22368,0,0.1422,0.18151,0.31905,0.16128,0.34432,0.30109,0.26126,0.3289,0.37432,0.41749,0.22552,0.1885,0.36815,0.39369,0.20706,0.17605,0.27687,0.21369
Occupation_2digit ISCO_35,0.36659,0.44312,0.28232,0.46861,0.25367,0.40284,0.48224,0,0.27485,0.19639,0.19728,0.35581,0.2767,0.2681,0.26491,0.18391,0.30792,0.38635,0.46869,0.22782,0.31435,0.35147,0.40734,0.30048,0.31651,0.34033,0.23301
Occupation_2digit ISCO_41,0.20202,0.32539,0.12355,0.31262,0.15868,0.24968,0.35188,0,0.11837,0.0798,0.06576,0.2857,0.18112,0.11357,0.21445,0.1927,0.29296,0.23215,0.23097,0.15182,0.16003,0.21588,0.22782,0.19633,0.2936,0.20703,0.149
Occupation_2digit ISCO_42,0.13246,0.31039,0.15218,0.28772,0.07211,0.20642,0.37533,0.14353,0.08178,0.06907,0.04732,0.2376,0.18031,0.07325,0.27856,0.23613,0.24278,0.25888,0.22943,0.13813,0.13941,0.12708,0.23398,0.16814,0.22043,0.17065,0.0759
Occupation_2digit ISCO_43,0.27977,0.32115,0.18173,0.3652,0.11174,0.18018,0.34505,0.19605,0,0.14548,0.03992,0.25444,0.19922,0.13483,0.31921,0.31637,0.24407,0.31034,0.30757,0.20202,0.14205,0.09748,0.26852,0.15008,0.24882,0.21288,0.1195
Occupation_2digit ISCO_44,0.07768,0.1587,0.1951,0.25814,0.08319,0.19605,0.27056,0.12678,0.12324,0,0.08533,0.26833,0.10165,0,0,0,0.31528,0.27212,0.27214,0.09354,0.11108,0.16081,0,0.13193,0.11472,0.08149,0.0888
