occupation_uri,occupation_title,isco_group,ai_product_exposure_score,ai_product_exposure_percentile,felten_exposure_score,matched_onet_title_from_felten,matched_onet_id_from_felten,webb_exposure_score,matched_occ1990dd_title_from_webb,matched_onet_title_from_webb,matched_onet_id_from_webb,beta_eloundou,matched_onet_title_from_eloundou,matched_onet_id_from_eloundou
http://data.europa.eu/esco/occupation/d3edb8f8-3a06-47a0-8fb9-9b212c006aa2,data analyst,2511,2.140412266198722,1,NA,NA,NA,NA,NA,NA,NA,0.7245149621834923,"Business Intelligence Analysts, Data Scientists","15-2051.00, 15-2051.01"
http://data.europa.eu/esco/occupation/e297ec12-4712-40a4-ad98-ba004cacb205,chief data officer,1330,2.1348738856677025,0.9996674426338544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://data.europa.eu/esco/occupation/810e5e67-acd5-499a-b307-cf5bea330859,ICT information and knowledge manager,1330,1.9212719518654997,0.9993348852677086,NA,NA,NA,NA,NA,NA,NA,0.65625,Health Information Technologists and Medical Registrars,29-9021.00
http://data.europa.eu/esco/occupation/fe0fa514-b48d-4a53-9757-a283c0baacf0,ICT business analyst,2511,1.8930361454340552,0.9990023279015632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://data.europa.eu/esco/occupation/04ba4d6c-957d-417f-bf63-5b9e015a9f86,software analyst,2512,1.8602912925030783,0.9986697705354174,NA,NA,NA,NA,NA,NA,NA,0.699741531258651,"Computer Systems Analysts, Health Informatics Specialists, Software Developers","15-1211.00, 15-1211.01, 15-1252.00"
http://data.europa.eu/esco/occupation/35553663-deab-4d9a-bf22-15c1625d28e8,ICT intelligent systems designer,2511,1.822184376196749,0.9983372131692716,NA,NA,NA,NA,NA,NA,NA,0.75,Data Scientists,15-2051.00
http://data.europa.eu/esco/occupation/0561328b-875b-4ae2-9ba1-9af9049aef01,procurement category specialist,2422,1.8066355617588687,0.998004655803126,1.4985,"Procurement Clerks, Purchasing Agents, Except Wholesale, Retail, and Farm Products","13-1023, 43-3061",49,"Purchasing agents and buyers, n.e.c., Stock and inventory clerks","Procurement Clerks, Purchasing Agents, Except Wholesale, Retail, and Farm Products","13-1023.00, 43-3061.00",0.542599722293724,"Procurement Clerks, Purchasing Agents, Except Wholesale, Retail, and Farm Products","13-1023.00, 43-3061.00"
http://data.europa.eu/esco/occupation/0c448a27-10ec-43ba-b880-d9938bade424,digital forensics expert,2529,1.8044346036783732,0.9976720984369803,NA,NA,NA,NA,NA,NA,NA,0.725,Digital Forensics Analysts,15-1299.06
http://data.europa.eu/esco/occupation/22987b58-dbfa-4ecd-ae3f-82dd209255f6,green ICT consultant,2511,1.8022266462727992,0.9973395410708348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://data.europa.eu/esco/occupation/7086d0ca-1e77-4690-89c9-7ed1a0478fa3,data quality specialist,2519,1.7966351449745963,0.9970069837046892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://data.europa.eu/esco/occupation/349ee6f6-c295-4c38-9b98-48765b55280e,cloud engineer,2512,1.790328710796547,0.9966744263385434,NA,NA,NA,NA,NA,NA,NA,0.7708588091430721,Computer Systems Engineers/Architects,15-1299.08
http://data.europa.eu/esco/occupation/cdd3d773-75a4-4f35-bd1d-1ac720afcf9d,IT auditor,2511,1.7896442779827464,0.9963418689723976,1.482,Accountants and Auditors,13-2011,NA,NA,NA,NA,0.5523626319743388,Accountants and Auditors,13-2011.00
http://data.europa.eu/esco/occupation/a6a0b60f-08da-4faa-bf54-942987efb471,ICT system analyst,2511,1.7838589478800635,0.996009311606252,NA,NA,NA,NA,NA,NA,NA,0.6154017705721869,"Computer Systems Analysts, Health Informatics Specialists","15-1211.00, 15-1211.01"
http://data.europa.eu/esco/occupation/a28dff76-74df-46ee-929f-d1fffbb63cd7,ICT quality assurance manager,2519,1.7825171507213486,0.9956767542401064,0.509,Quality Control Systems Managers,11-3051,68,"Managers and administrators, n.e.c.",Quality Control Systems Managers,11-3051.01,0.500760022800684,Quality Control Systems Managers,11-3051.01
http://data.europa.eu/esco/occupation/98c3d8f8-e3a8-49b7-9e58-236f25a6f6a0,system configurator,2522,1.7760899903353835,0.9953441968739608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://data.europa.eu/esco/occupation/f31e25d0-8794-4f88-ac07-a229199c6f0f,leather goods maintenance technician,8156,1.7640855601300784,0.9950116395078152,-1.133,Industrial Machinery Mechanics,49-9041,66,Industrial machinery repairers,Industrial Machinery Mechanics,49-9041.00,0.2719828271585308,Industrial Machinery Mechanics,49-9041.00
http://data.europa.eu/esco/occupation/b11e1742-5e28-4270-b081-b0193d85ee7d,database developer,2521,1.7608290528224708,0.9946790821416694,NA,NA,NA,NA,NA,NA,NA,0.9196545564695715,"Data Warehousing Specialists, Database Administrators, Software Developers","15-1242.00, 15-1243.01, 15-1252.00"
http://data.europa.eu/esco/occupation/1619d7f3-7d95-407c-a20e-47745bfcde73,data protection officer,2619,1.760357031217921,0.9943465247755238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://data.europa.eu/esco/occupation/53c0086b-9b54-4c29-8bba-69ce8256cb91,pre-stitching machine operator,8156,1.7530627300228727,0.994013967409378,-1.03,Shoe Machine Operators and Tenders,51-6042,2,Shoemaking machine operators,Shoe Machine Operators and Tenders,51-6042.00,0.05891623227057826,Shoe Machine Operators and Tenders,51-6042.00
http://data.europa.eu/esco/occupation/276ba420-ef09-4a0e-b215-2c2e2f80ad28,chief ICT security officer,2529,1.7292859299230054,0.9936814100432324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://data.europa.eu/esco/occupation/78faf623-2543-43a5-acb2-3c43a22d36e4,blockchain architect,2511,1.7209834888953064,0.9933488526770868,NA,NA,NA,NA,NA,NA,NA,0.870723522218595,"Blockchain Engineers, Computer Systems Engineers/Architects","15-1299.07, 15-1299.08"
http://data.europa.eu/esco/occupation/4b3201cb-ffc5-4f61-9fc3-5c0f0038fa5f,ICT business analysis manager,2511,1.7196914547080533,0.9930162953109412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://data.europa.eu/esco/occupation/2bef94db-0088-4507-982a-2ca717529adb,enterprise architect,2511,1.714497055523852,0.9926837379447956,NA,NA,NA,NA,NA,NA,NA,0.7708588091430721,Computer Systems Engineers/Architects,15-1299.08
http://data.europa.eu/esco/occupation/3d190639-90f8-4402-b1b3-a104a17e0d67,database integrator,2521,1.7141867669777415,0.9923511805786498,NA,NA,NA,NA,NA,NA,NA,0.9150944111595474,"Data Warehousing Specialists, Database Administrators, Database Architects","15-1242.00, 15-1243.00, 15-1243.01"
http://data.europa.eu/esco/occupation/ef5b17a5-3ca8-4965-bd3d-61c4aca490d1,document management officer,1349,1.7138769959180375,0.992018623212504,NA,NA,NA,NA,NA,NA,NA,0.6130331215970962,Document Management Specialists,15-1299.03
http://data.europa.eu/esco/occupation/8213b4bc-60ce-4ffc-9e00-9758fb2003c6,monitoring and evaluation officer,2422,1.7107148402811765,0.9916860658463584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,ICT project manager,1330,1.6776859882665556,0.9913535084802128,NA,NA,NA,NA,NA,NA,NA,0.5612552841709724,"Information Technology Project Managers, Project Management Specialists","13-1082.00, 15-1299.09"
http://data.europa.eu/esco/occupation/91d0f74b-8612-49cc-a7da-83ee3c4b94d9,leather goods industrial engineer,2141,1.6742991549697832,0.9910209511140672,0.611,Industrial Engineering Technologists and Technicians,17-3026,91,Engineering and science technicians,Industrial Engineering Technologists and Technicians,17-3026.00,0.449952503321694,Industrial Engineering Technologists and Technicians,17-3026.00
http://data.europa.eu/esco/occupation/c9b2b0a7-0adc-4ca7-bf7c-dc95e18aeac7,procurement support officer,3343,1.632272882530681,0.9906883937479216,1.4985,"Procurement Clerks, Purchasing Agents, Except Wholesale, Retail, and Farm Products","13-1023, 43-3061",49,"Purchasing agents and buyers, n.e.c., Stock and inventory clerks","Procurement Clerks, Purchasing Agents, Except Wholesale, Retail, and Farm Products","13-1023.00, 43-3061.00",0.542599722293724,"Procurement Clerks, Purchasing Agents, Except Wholesale, Retail, and Farm Products","13-1023.00, 43-3061.00"
http://data.europa.eu/esco/occupation/2082e125-d06b-43e6-957f-b7aa3c48dc2f,automated cutting machine operator,8156,1.618618915887968,0.9903558363817758,-1.051,"Cutting and Slicing Machine Setters, Operators, and Tenders, Textile Cutting Machine Setters, Operators, and Tenders","51-6062, 51-9032",75,"Slicing and cutting machine operators, Textile cutting and dyeing machine operators","Cutting and Slicing Machine Setters, Operators, and Tenders, Textile Cutting Machine Setters, Operators, and Tenders","51-6062.00, 51-9032.00",0.1128101882818864,"Cutting and Slicing Machine Setters, Operators, and Tenders, Textile Cutting Machine Setters, Operators, and Tenders","51-6062.00, 51-9032.00"
http://data.europa.eu/esco/occupation/102e75c8-3b47-4964-9b47-30a980aed25c,ICT disaster recovery analyst,2519,1.617535651426795,0.99002327901563,1.048,Business Continuity Planners,13-1199,54,Management support occupations,Business Continuity Planners,13-1199.04,0.5749378477566,Business Continuity Planners,13-1199.04
http://data.europa.eu/esco/occupation/bd9d395a-d587-45c6-8d72-ceef226df9e1,ICT system integration consultant,2511,1.6109648899489466,0.9896907216494846,NA,NA,NA,NA,NA,NA,NA,0.7550625,Computer Systems Analysts,15-1211.00
http://data.europa.eu/esco/occupation/9db7d74c-b46d-45c0-b611-6bcb7456ecc6,ICT research manager,1223,1.6032163889760398,0.9893581642833388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
