isco_3digit,group_label,ai_product_exposure_score,onet_4digit,webb_exposure_score,felten_exposure_score
133,Information and communications technology service managers,1.4208992482813438,11-30,64.64285714285714,1.0115
251,Software and applications developers and analysts,1.4198248709113235,15-12,NA,NA
252,Database and network professionals,1.3954216641420685,15-12,NA,NA
221,Medical doctors,1.1182618779572202,29-12,NA,NA
222,Nursing and midwifery professionals,0.9956013553898383,29-11,67.08695652173913,0.20057142857142857
122,"Sales, marketing and development managers",0.9638917024806138,11-20,82,1.2922500000000001
351,Information and communications technology operations and user support technicians,0.9525848528065363,15-12,NA,NA
413,Keyboard operators,0.8917748130487724,43-90,58.6,0.46255555555555555
121,Business services and administration managers,0.8905206226484697,11-30,64.64285714285714,1.0115
242,Administration professionals,0.8483387764755667,13-10,57.65,0.9771666666666666
231,University and higher education teachers,0.8212954405499295,25-10,1,1.2241304347826087
226,Other health professionals,0.7496970423038266,29-10,49.86666666666667,0.4578333333333333
263,Social and religious professionals,0.7474721696819187,21-10,38.666666666666664,0.8139166666666666
212,"Mathematicians, actuaries and statisticians",0.7303479740717199,15-20,88.66666666666667,1.3054
215,Electrotechnology engineers,0.728564339916012,17-20,88.16666666666667,1.129888888888889
241,Finance professionals,0.7283423054501178,13-20,74.27777777777777,1.3537692307692308
132,"Manufacturing, mining, construction, and distribution managers",0.6728148054639789,11-30,64.64285714285714,1.0115
243,"Sales, marketing and public relations professionals",0.6684446366748112,41-40,18,0.8565
323,Traditional and complementary medicine associate professionals,0.6493806725371294,NA,NA,NA
211,Physical and earth science professionals,0.6470375723865798,19-20,92.08333333333333,1.0152222222222222
214,Engineering professionals (excluding electrotechnology),0.6371063007524508,17-21,87.8,1.0453333333333332
112,Managing directors and chief executives,0.6368490774852094,11-10,41.333333333333336,0.9545
262,"Librarians, archivists and curators",0.5861985325680554,25-40,23.8,0.47959999999999997
325,Other health associate professionals,0.5721676113329968,29-20,55.17857142857143,-0.11581818181818182
235,Other teaching professionals,0.5673008732980073,25-20,46.36363636363637,0.6129166666666667
134,Professional services managers,0.5616596116305336,11-90,71.53333333333333,0.6279090909090909
331,Financial and mathematical associate professionals,0.5363154673191919,13-20,74.27777777777777,1.3537692307692308
341,"Legal, social and religious associate professionals",0.5268164133023148,21-10,38.666666666666664,0.8139166666666666
143,Other services managers,0.5234617874298442,11-90,71.53333333333333,0.6279090909090909
213,Life science professionals,0.5157645065617545,19-10,76.33333333333333,0.7291666666666666
111,Legislators and senior officials,0.4920414229776573,11-10,41.333333333333336,0.9545
261,Legal professionals,0.48703479164547514,23-10,79,1.419
342,Sports and fitness workers,0.44636865780773227,39-90,21.5,-0.5676
223,Traditional and complementary medicine professionals,0.42528639288128434,29-12,NA,NA
141,Hotel and restaurant managers,0.4161931351163722,11-90,71.53333333333333,0.6279090909090909
311,Physical and engineering science technicians,0.4027775825403372,17-30,88.71428571428571,0.405
232,Vocational education teachers,0.39125601084925865,25-11,1,1.1846923076923077
321,Medical and pharmaceutical technicians,0.38434519189858385,29-20,55.17857142857143,-0.11581818181818182
332,Sales and purchasing agents and brokers,0.37184503088748394,41-40,18,0.8565
322,Nursing and midwifery associate professionals,0.36712109404394905,29-90,42,0.5324
334,Administrative and specialised secretaries,0.3547249368757009,43-60,9,1.103
142,Retail and wholesale trade managers,0.35468065335953164,41-10,61,0.6675
233,Secondary education teachers,0.3002040626722382,25-10,1,1.2241304347826087
422,Client information workers,0.30018695300285253,43-41,25.875,0.9339999999999999
021,Non-commissioned armed forces officers,0.29216217936754046,NA,NA,NA
011,Commissioned armed forces officers,0.29070206178357966,NA,NA,NA
754,Other craft and related workers,0.2849068254069146,51-90,66.25,-0.6973571428571428
432,Material-recording and transport clerks,0.28332500327521404,43-50,37,-0.1807272727272727
234,Primary school and early childhood teachers,0.2779160670280221,25-20,46.36363636363637,0.6129166666666667
333,Business services agents,0.26878957680397586,13-10,57.65,0.9771666666666666
225,Veterinarians,0.254007825528982,29-11,67.08695652173913,0.20057142857142857
532,Personal care workers in health services,0.25135522457965537,31-11,NA,NA
031,"Armed forces occupations, other ranks",0.23898365527175972,53-20,45,0.0974
431,Numerical clerks,0.2374507975628941,43-30,20.125,1.0381428571428573
335,Regulatory government associate professionals,0.2021894916260251,33-30,60.666666666666664,-0.5348571428571428
324,Veterinary technicians and assistants,0.19196391795775442,29-20,55.17857142857143,-0.11581818181818182
312,"Mining, manufacturing and construction supervisors",0.1820298345219391,51-10,96,-0.085
314,Life science technicians and related associate professionals,0.18004827712014948,19-40,80.9375,0.1958
