esco_skill_label,esco_skill_uri,max_similarity,n_similar,mean_similarity,max_similarity_capability
manage musical staff,http://data.europa.eu/esco/skill/0005c151-5b5a-4a66-8aac-60e734beb1ab,0.8926595449447632,0,0.6493461327682093,"personalize experience to meet the needs of individual staff members, teams, and students"
supervise correctional procedures,http://data.europa.eu/esco/skill/00064735-8fad-454b-90c7-ed858cc993f2,0.9352594017982483,204,0.7324042793502309,manage security and adherence to business and regulatory compliance requirements across different locations
apply anti-oppressive practices,http://data.europa.eu/esco/skill/000709ed-2be5-4193-b056-45a97698d828,0.9194172024726868,15,0.6994086977018091,expand detection capabilities to discover inter-communal and gender-based violence
control compliance of railway vehicles regulations,http://data.europa.eu/esco/skill/0007bdc2-dd15-4824-b7d6-416522c46f35,0.9519190192222595,256,0.6924303976543287,automates the construction of policies and procedures
identify available services,http://data.europa.eu/esco/skill/00090cc1-1f27-439e-a4e0-19a87a501bfc,0.9325418472290039,118,0.7391086625943623,"determine access to products, services, and information"
perform toxicological studies,http://data.europa.eu/esco/skill/000bb1e4-89f0-4b86-be05-05ece3641724,0.928662896156311,20,0.7049756916818711,utilize data and results to generate trained machine learning models to improve the diagnosis and prediction of urological diseases such as bladder cancer
ensure coquille uniformity,http://data.europa.eu/esco/skill/000c94d2-2a2e-4545-993c-6df8cb5b0316,0.8841612935066223,0,0.6517640888165726,ensure accuracy and relevance of system's recommendations
show initiative,http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f,0.8969926834106445,0,0.6863405480492103,reduce the need for explicit human involvement in content creation
train staff to reduce food waste,http://data.europa.eu/esco/skill/001d46db-035e-4b92-83a3-ed8771e0c123,0.9276869893074036,5,0.6998742909699842,reduce food waste through awareness and local food system platforms
apply diplomatic principles,http://data.europa.eu/esco/skill/0023e7a5-43da-4b68-bee3-726ef21f986d,0.9184958934783936,28,0.6918327727075048,enforce access control and governance policies in the feature workflow
lead police investigations,http://data.europa.eu/esco/skill/00298d97-3dc3-4086-a902-bce0a2fba831,0.9071673154830933,2,0.6765531264603909,identify and investigate suspicious activities
handle fish harvesting waste,http://data.europa.eu/esco/skill/002b2e58-35ab-460c-be97-ca2f585fd990,0.8487246632575989,0,0.6017673584765765,lower volume of packaging waste needing recycling
develop energy saving concepts,http://data.europa.eu/esco/skill/0037c821-2898-4919-b96e-7ed1cd89554c,0.9382410049438477,84,0.7388035446634373,use machine learning for environmental and renewable energy monitoring
perform street interventions in social work,http://data.europa.eu/esco/skill/004017c9-0337-4f5a-8077-798de9ef12e3,0.9158287048339844,13,0.6752485016360621,involve individuals without coding knowledge in projects
work with soloists,http://data.europa.eu/esco/skill/004f1e68-9ca2-4f3f-92d9-e7d7ff6b9330,0.8847211003303528,0,0.6230214457893961,collaborate with regional creatives
conduct research on flora,http://data.europa.eu/esco/skill/0058526a-11e9-40a1-ab33-7c5ffdf5da05,0.9081941246986389,6,0.6562985863020204,research and analysis on emerging trends
install heat pump,http://data.europa.eu/esco/skill/00735755-adc6-4ea0-b034-b8caff339c9f,0.8790570497512817,0,0.61892585257308,"calculate available capacity in breaker panels for EV chargers, heat pumps, electric water heating"
design biomass installations,http://data.europa.eu/esco/skill/0082c13b-5866-4542-bc4f-722a4ae9530e,0.9303014278411865,91,0.7133253880000104,"automate aspects of the design, procurement, and manufacturing process"
handle equipment while suspended,http://data.europa.eu/esco/skill/00831ebb-bac3-4bd1-8dae-2bca67be958d,0.9021478295326233,1,0.6625508703128009,gain visibility into shipments and orders across all modes and geographies on a single platform
teach housekeeping skills,http://data.europa.eu/esco/skill/0085e6bd-6829-4e8e-b302-842a7fe57ed9,0.8878095149993896,0,0.6381519556230436,personalize learning and skill development
check train engines,http://data.europa.eu/esco/skill/008a0e0d-7380-4b31-abe5-0195e700f8c0,0.8870946764945984,0,0.6880933671402265,train and validate autonomous vehicle technologies
