skill_group_level_2,n_skills,ave_n_similar_l3
using more than one language,47,9.46808510638298
processing information,94,2.4680851063829787
accessing and analysing digital data,78,2.3205128205128207
analysing and evaluating information and data,387,1.9689922480620154
programming computer systems,39,1.9230769230769231
"using digital tools for collaboration, content creation and problem solving",79,1.8101265822784811
writing and composing,139,1.2733812949640289
managing information,61,1.0491803278688525
working with computers,10,1
"conducting studies, investigations and examinations",317,0.9905362776025236
making decisions,31,0.9032258064516129
solving problems,64,0.875
documenting and recording information,287,0.7421602787456446
obtaining information verbally,57,0.7368421052631579
providing information and support to the public and clients,87,0.735632183908046
developing objectives and strategies,349,0.7220630372492837
performing administrative activities,91,0.7032967032967034
supervising people,163,0.6687116564417178
setting up and protecting computer systems,61,0.5901639344262295
advising and consulting,376,0.5718085106382979
"organising, planning and scheduling work and activities",441,0.5578231292517006
"monitoring, inspecting and testing",559,0.5456171735241503
assisting and caring,6,0.5
"communication, collaboration and creativity",8,0.5
allocating and controlling resources,159,0.4968553459119497
calculating and estimating,121,0.48760330578512395
using precision instrumentation and equipment,222,0.43243243243243246
protecting and enforcing,482,0.4170124481327801
"creating artistic, visual or instructive materials",252,0.4166666666666667
liaising and networking,249,0.40963855421686746
negotiating,83,0.40963855421686746
recruiting and hiring,22,0.4090909090909091
"promoting, selling and purchasing",220,0.37727272727272726
management skills,31,0.3548387096774194
presenting information,69,0.34782608695652173
designing systems and products,235,0.3446808510638298
working with others,158,0.33544303797468356
monitoring developments in area of expertise,70,0.3
providing health care or medical treatments,236,0.288135593220339
measuring physical properties,65,0.27692307692307694
building and repairing structures,325,0.27076923076923076
using digital tools to control machinery,37,0.2702702702702703
working with machinery and specialised equipment,16,0.25
teaching and training,259,0.21235521235521235
"making moulds, casts, models and patterns",52,0.21153846153846154
handling and disposing of waste and hazardous materials,61,0.18032786885245902
counselling,53,0.16981132075471697
sorting and packaging goods and materials,119,0.16806722689075632
building and developing teams,12,0.16666666666666666
preparing and serving food and drinks,75,0.16
leading and motivating,33,0.12121212121212122
installing interior or exterior infrastructure,62,0.11290322580645161
performing and entertaining,126,0.1111111111111111
operating aircraft,10,0.1
operating watercraft,46,0.08695652173913043
"installing, maintaining and repairing electrical, electronic and precision equipment",142,0.07746478873239436
"installing, maintaining and repairing mechanical equipment",91,0.07692307692307693
tending plants and crops,70,0.07142857142857142
using hand tools,191,0.06806282722513089
cleaning,148,0.05405405405405406
operating machinery for the extraction and processing of raw materials,208,0.052884615384615384
transforming and blending materials,108,0.046296296296296294
moving and lifting,220,0.04090909090909091
driving vehicles,53,0.03773584905660377
handling animals,234,0.03418803418803419
providing general personal care,82,0.024390243902439025
operating mobile plant,91,0.02197802197802198
assembling and fabricating products,249,0.020080321285140562
operating machinery for the manufacture of products,418,0.01674641148325359
finishing interior or exterior of structures,91,0.01098901098901099
constructing,6,0
handling and moving,4,0
information skills,1,0
washing and maintaining textiles and clothing,17,0
